iter	Passed	Remaining
0	121	365803
1	174	261568
2	217	217644
3	266	199444
4	322	193379
5	376	188014
6	418	179097
7	466	174531
8	509	169488
9	550	164539
10	609	165621
11	691	172106
12	740	170209
13	793	169147
14	832	165727
15	888	165642
16	933	163758
17	979	162193
18	1024	160702
19	1068	159238
20	1113	157986
21	1159	157006
22	1205	155981
23	1247	154701
24	1290	153577
25	1339	153211
26	1384	152415
27	1424	151217
28	1462	149876
29	1515	150002
30	1564	149855
31	1603	148729
32	1642	147633
33	1688	147337
34	1727	146361
35	1765	145394
36	1804	144486
37	1842	143603
38	1879	142729
39	1919	142020
40	1958	141369
41	1997	140712
42	2035	139997
43	2072	139251
44	2110	138615
45	2151	138140
46	2188	137529
47	2228	137082
48	2269	136696
49	2309	136281
50	2349	135882
51	2386	135313
52	2422	134710
53	2458	134150
54	2495	133611
55	2533	133210
56	2572	132822
57	2609	132382
58	2647	131956
59	2684	131543
60	2723	131206
61	2761	130842
62	2798	130475
63	2836	130110
64	2874	129784
65	2911	129415
66	2949	129122
67	2985	128746
68	3023	128415
69	3067	128413
70	3104	128084
71	3145	127920
72	3183	127657
73	3220	127343
74	3257	127053
75	3294	126764
76	3332	126519
77	3371	126295
78	3408	126009
79	3446	125787
80	3485	125595
81	3522	125360
82	3559	125096
83	3596	124860
84	3642	124922
85	3686	124896
86	3727	124807
87	3776	124967
88	3824	125106
89	3871	125163
90	3907	124910
91	3946	124743
92	3985	124572
93	4025	124451
94	4068	124399
95	4108	124268
96	4146	124107
97	4187	123995
98	4225	123808
99	4263	123631
100	4304	123542
101	4341	123339
102	4378	123154
103	4414	122935
104	4452	122758
105	4498	122812
106	4546	122931
107	4585	122786
108	4622	122598
109	4659	122406
110	4696	122238
111	4735	122113
112	4774	121969
113	4811	121796
114	4849	121656
115	4887	121503
116	4924	121342
117	4962	121191
118	4998	121016
119	5036	120864
120	5075	120756
121	5114	120642
122	5151	120491
123	5190	120383
124	5228	120248
125	5266	120128
126	5303	119976
127	5342	119868
128	5381	119762
129	5425	119787
130	5462	119642
131	5506	119637
132	5548	119604
133	5592	119610
134	5631	119509
135	5670	119423
136	5707	119273
137	5745	119146
138	5787	119114
139	5823	118974
140	5863	118885
141	5904	118843
142	5944	118759
143	5982	118652
144	6019	118521
145	6058	118433
146	6096	118319
147	6137	118276
148	6179	118239
149	6217	118126
150	6256	118043
151	6293	117928
152	6333	117854
153	6372	117771
154	6412	117709
155	6455	117681
156	6493	117581
157	6532	117498
158	6570	117402
159	6608	117297
160	6646	117200
161	6696	117309
162	6734	117211
163	6771	117091
164	6810	117009
165	6848	116917
166	6891	116913
167	6931	116851
168	6973	116822
169	7010	116695
170	7046	116580
171	7085	116496
172	7122	116391
173	7161	116306
174	7203	116279
175	7243	116222
176	7280	116123
177	7318	116028
178	7356	115934
179	7396	115881
180	7437	115843
181	7477	115778
182	7518	115733
183	7563	115749
184	7599	115634
185	7639	115571
186	7678	115506
187	7715	115401
188	7756	115356
189	7795	115290
190	7831	115180
191	7872	115139
192	7911	115069
193	7955	115062
194	7998	115052
195	8040	115029
196	8084	115032
197	8126	114995
198	8166	114942
199	8214	115004
200	8258	115003
201	8301	114990
202	8342	114943
203	8387	114953
204	8429	114923
205	8466	114827
206	8504	114742
207	8546	114722
208	8585	114657
209	8627	114627
210	8672	114636
211	8714	114605
212	8754	114544
213	8795	114499
214	8834	114436
215	8878	114436
216	8919	114395
217	8964	114405
218	9007	114378
219	9057	114458
220	9098	114408
221	9140	114376
222	9178	114302
223	9221	114281
224	9264	114260
225	9308	114258
226	9352	114249
227	9390	114169
228	9429	114095
229	9476	114124
230	9528	114216
231	9578	114283
232	9626	114318
233	9667	114276
234	9710	114251
235	9754	114247
236	9794	114183
237	9836	114149
238	9876	114100
239	9917	114046
240	9964	114070
241	10009	114077
242	10056	114095
243	10101	114102
244	10144	114075
245	10189	114068
246	10228	113999
247	10264	113905
248	10305	113857
249	10342	113770
250	10380	113693
251	10420	113632
252	10460	113579
253	10502	113539
254	10556	113638
255	10599	113609
256	10636	113524
257	10682	113536
258	10722	113476
259	10777	113577
260	10826	113617
261	10875	113648
262	10913	113577
263	10953	113517
